Using device: cuda
Run 1/200 ----------------------------------
Subset Accuracy: 0.7730
Training Accuracy: 0.8196
Run 2/200 ----------------------------------
Subset Accuracy: 0.7400
Training Accuracy: 0.9239
Run 3/200 ----------------------------------
Subset Accuracy: 0.8410
Training Accuracy: 0.9294
Run 4/200 ----------------------------------
Subset Accuracy: 0.8404
Training Accuracy: 0.9496
Run 5/200 ----------------------------------
Subset Accuracy: 0.8626
Training Accuracy: 0.9508
Run 6/200 ----------------------------------
Subset Accuracy: 0.8118
Training Accuracy: 0.8647
Run 7/200 ----------------------------------
Subset Accuracy: 0.8344
Training Accuracy: 0.9284
Run 8/200 ----------------------------------
Subset Accuracy: 0.8302
Training Accuracy: 0.9168
Run 9/200 ----------------------------------
Subset Accuracy: 0.7906
Training Accuracy: 0.8306
Run 10/200 ----------------------------------
Subset Accuracy: 0.6430
Training Accuracy: 0.8026
Run 11/200 ----------------------------------
Subset Accuracy: 0.8412
Training Accuracy: 0.9333
Run 12/200 ----------------------------------
Subset Accuracy: 0.6926
Training Accuracy: 0.7016
Run 13/200 ----------------------------------
Subset Accuracy: 0.8428
Training Accuracy: 0.9552
Run 14/200 ----------------------------------
Subset Accuracy: 0.8256
Training Accuracy: 0.9076
Run 15/200 ----------------------------------
Subset Accuracy: 0.7528
Training Accuracy: 0.7796
Run 16/200 ----------------------------------
Subset Accuracy: 0.8558
Training Accuracy: 0.9455
Run 17/200 ----------------------------------
Subset Accuracy: 0.8386
Training Accuracy: 0.9008
Run 18/200 ----------------------------------
Subset Accuracy: 0.8284
Training Accuracy: 0.9463
Run 19/200 ----------------------------------
Subset Accuracy: 0.8214
Training Accuracy: 0.9086
Run 20/200 ----------------------------------
Subset Accuracy: 0.7686
Training Accuracy: 0.7974
Run 21/200 ----------------------------------
Subset Accuracy: 0.8466
Training Accuracy: 0.9308
Run 22/200 ----------------------------------
Subset Accuracy: 0.6694
Training Accuracy: 0.6800
Run 23/200 ----------------------------------
Subset Accuracy: 0.8330
Training Accuracy: 0.9238
Run 24/200 ----------------------------------
Subset Accuracy: 0.7800
Training Accuracy: 0.9249
Run 25/200 ----------------------------------
Subset Accuracy: 0.3208
Training Accuracy: 0.3140
Run 26/200 ----------------------------------
Subset Accuracy: 0.6576
Training Accuracy: 0.6792
Run 27/200 ----------------------------------
Subset Accuracy: 0.3976
Training Accuracy: 0.4025
Run 28/200 ----------------------------------
Subset Accuracy: 0.8372
Training Accuracy: 0.9381
Run 29/200 ----------------------------------
Subset Accuracy: 0.8396
Training Accuracy: 0.9281
Run 30/200 ----------------------------------
Subset Accuracy: 0.8528
Training Accuracy: 0.9628
Run 31/200 ----------------------------------
Subset Accuracy: 0.8192
Training Accuracy: 0.8648
Run 32/200 ----------------------------------
Subset Accuracy: 0.5784
Training Accuracy: 0.5828
Run 33/200 ----------------------------------
Subset Accuracy: 0.8158
Training Accuracy: 0.8622
Run 34/200 ----------------------------------
Subset Accuracy: 0.8286
Training Accuracy: 0.8865
Run 35/200 ----------------------------------
Subset Accuracy: 0.7830
Training Accuracy: 0.8006
Run 36/200 ----------------------------------
Subset Accuracy: 0.5846
Training Accuracy: 0.5831
Run 37/200 ----------------------------------
Subset Accuracy: 0.8488
Training Accuracy: 0.9599
Run 38/200 ----------------------------------
Subset Accuracy: 0.8450
Training Accuracy: 0.9453
Run 39/200 ----------------------------------
Subset Accuracy: 0.7872
Training Accuracy: 0.8472
Run 40/200 ----------------------------------
Subset Accuracy: 0.2240
Training Accuracy: 0.2162
Run 41/200 ----------------------------------
Subset Accuracy: 0.8194
Training Accuracy: 0.8780
Run 42/200 ----------------------------------
Subset Accuracy: 0.8346
Training Accuracy: 0.9288
Run 43/200 ----------------------------------
Subset Accuracy: 0.6702
Training Accuracy: 0.7715
Run 44/200 ----------------------------------
Subset Accuracy: 0.8310
Training Accuracy: 0.9152
Run 45/200 ----------------------------------
Subset Accuracy: 0.8192
Training Accuracy: 0.8593
Run 46/200 ----------------------------------
Subset Accuracy: 0.7688
Training Accuracy: 0.8050
Run 47/200 ----------------------------------
Subset Accuracy: 0.2624
Training Accuracy: 0.2643
Run 48/200 ----------------------------------
Subset Accuracy: 0.8216
Training Accuracy: 0.8922
Run 49/200 ----------------------------------
Subset Accuracy: 0.8238
Training Accuracy: 0.9113
Run 50/200 ----------------------------------
Subset Accuracy: 0.6590
Training Accuracy: 0.6654
Run 51/200 ----------------------------------
Subset Accuracy: 0.8294
Training Accuracy: 0.9140
Run 52/200 ----------------------------------
Subset Accuracy: 0.8086
Training Accuracy: 0.9293
Run 53/200 ----------------------------------
Subset Accuracy: 0.8408
Training Accuracy: 0.9348
Run 54/200 ----------------------------------
Subset Accuracy: 0.7732
Training Accuracy: 0.8285
Run 55/200 ----------------------------------
Subset Accuracy: 0.7922
Training Accuracy: 0.8487
Run 56/200 ----------------------------------
Subset Accuracy: 0.8326
Training Accuracy: 0.9356
Run 57/200 ----------------------------------
Subset Accuracy: 0.7532
Training Accuracy: 0.8950
Run 58/200 ----------------------------------
Subset Accuracy: 0.6206
Training Accuracy: 0.6349
Run 59/200 ----------------------------------
Subset Accuracy: 0.7400
Training Accuracy: 0.8525
Run 60/200 ----------------------------------
Subset Accuracy: 0.8376
Training Accuracy: 0.9157
Run 61/200 ----------------------------------
Subset Accuracy: 0.7768
Training Accuracy: 0.9327
Run 62/200 ----------------------------------
Subset Accuracy: 0.2224
Training Accuracy: 0.2214
Run 63/200 ----------------------------------
Subset Accuracy: 0.8360
Training Accuracy: 0.9076
Run 64/200 ----------------------------------
Subset Accuracy: 0.4214
Training Accuracy: 0.4196
Run 65/200 ----------------------------------
Subset Accuracy: 0.7764
Training Accuracy: 0.8031
Run 66/200 ----------------------------------
Subset Accuracy: 0.8310
Training Accuracy: 0.9104
Run 67/200 ----------------------------------
Subset Accuracy: 0.6030
Training Accuracy: 0.6451
Run 68/200 ----------------------------------
Subset Accuracy: 0.8078
Training Accuracy: 0.8503
Run 69/200 ----------------------------------
Subset Accuracy: 0.1198
Training Accuracy: 0.1178
Run 70/200 ----------------------------------
Subset Accuracy: 0.8152
Training Accuracy: 0.8766
Run 71/200 ----------------------------------
Subset Accuracy: 0.7086
Training Accuracy: 0.7250
Run 72/200 ----------------------------------
Subset Accuracy: 0.3668
Training Accuracy: 0.3693
Run 73/200 ----------------------------------
Subset Accuracy: 0.8154
Training Accuracy: 0.8895
Run 74/200 ----------------------------------
Subset Accuracy: 0.8326
Training Accuracy: 0.9048
Run 75/200 ----------------------------------
Subset Accuracy: 0.8528
Training Accuracy: 0.9561
Run 76/200 ----------------------------------
Subset Accuracy: 0.6240
Training Accuracy: 0.6266
Run 77/200 ----------------------------------
Subset Accuracy: 0.7666
Training Accuracy: 0.7884
Run 78/200 ----------------------------------
Subset Accuracy: 0.8318
Training Accuracy: 0.8914
Run 79/200 ----------------------------------
Subset Accuracy: 0.8482
Training Accuracy: 0.9489
Run 80/200 ----------------------------------
Subset Accuracy: 0.7130
Training Accuracy: 0.7294
Run 81/200 ----------------------------------
Subset Accuracy: 0.6754
Training Accuracy: 0.8642
Run 82/200 ----------------------------------
Subset Accuracy: 0.7908
Training Accuracy: 0.9477
Run 83/200 ----------------------------------
Subset Accuracy: 0.7590
Training Accuracy: 0.7770
Run 84/200 ----------------------------------
Subset Accuracy: 0.4340
Training Accuracy: 0.4379
Run 85/200 ----------------------------------
Subset Accuracy: 0.8454
Training Accuracy: 0.9580
Run 86/200 ----------------------------------
Subset Accuracy: 0.8210
Training Accuracy: 0.9021
Run 87/200 ----------------------------------
Subset Accuracy: 0.8480
Training Accuracy: 0.9624
Run 88/200 ----------------------------------
Subset Accuracy: 0.6410
Training Accuracy: 0.7741
Run 89/200 ----------------------------------
Subset Accuracy: 0.7944
Training Accuracy: 0.8789
Run 90/200 ----------------------------------
Subset Accuracy: 0.4372
Training Accuracy: 0.4282
Run 91/200 ----------------------------------
Subset Accuracy: 0.6526
Training Accuracy: 0.8482
Run 92/200 ----------------------------------
Subset Accuracy: 0.8372
Training Accuracy: 0.9234
Run 93/200 ----------------------------------
Subset Accuracy: 0.8414
Training Accuracy: 0.9370
Run 94/200 ----------------------------------
Subset Accuracy: 0.8390
Training Accuracy: 0.9371
Run 95/200 ----------------------------------
Subset Accuracy: 0.8296
Training Accuracy: 0.9042
Run 96/200 ----------------------------------
Subset Accuracy: 0.8276
Training Accuracy: 0.9140
Run 97/200 ----------------------------------
Subset Accuracy: 0.6572
Training Accuracy: 0.7238
Run 98/200 ----------------------------------
Subset Accuracy: 0.8242
Training Accuracy: 0.8934
Run 99/200 ----------------------------------
Subset Accuracy: 0.8454
Training Accuracy: 0.9250
Run 100/200 ----------------------------------
Subset Accuracy: 0.8494
Training Accuracy: 0.9553
Run 101/200 ----------------------------------
Subset Accuracy: 0.8240
Training Accuracy: 0.8882
Run 102/200 ----------------------------------
Subset Accuracy: 0.8176
Training Accuracy: 0.8687
Run 103/200 ----------------------------------
Subset Accuracy: 0.8414
Training Accuracy: 0.9290
Run 104/200 ----------------------------------
Subset Accuracy: 0.8134
Training Accuracy: 0.8751
Run 105/200 ----------------------------------
Subset Accuracy: 0.7168
Training Accuracy: 0.8943
Run 106/200 ----------------------------------
Subset Accuracy: 0.8134
Training Accuracy: 0.9041
Run 107/200 ----------------------------------
Subset Accuracy: 0.4566
Training Accuracy: 0.4553
Run 108/200 ----------------------------------
Subset Accuracy: 0.8348
Training Accuracy: 0.9334
Run 109/200 ----------------------------------
Subset Accuracy: 0.7282
Training Accuracy: 0.7503
Run 110/200 ----------------------------------
Subset Accuracy: 0.2070
Training Accuracy: 0.1944
Run 111/200 ----------------------------------
Subset Accuracy: 0.8456
Training Accuracy: 0.9618
Run 112/200 ----------------------------------
Subset Accuracy: 0.8448
Training Accuracy: 0.9528
Run 113/200 ----------------------------------
Subset Accuracy: 0.4802
Training Accuracy: 0.4762
Run 114/200 ----------------------------------
Subset Accuracy: 0.7296
Training Accuracy: 0.7438
Run 115/200 ----------------------------------
Subset Accuracy: 0.8336
Training Accuracy: 0.9199
Run 116/200 ----------------------------------
Subset Accuracy: 0.8436
Training Accuracy: 0.9553
Run 117/200 ----------------------------------
Subset Accuracy: 0.8384
Training Accuracy: 0.9455
Run 118/200 ----------------------------------
Subset Accuracy: 0.8324
Training Accuracy: 0.8914
Run 119/200 ----------------------------------
Subset Accuracy: 0.7544
Training Accuracy: 0.7812
Run 120/200 ----------------------------------
Subset Accuracy: 0.7336
Training Accuracy: 0.7592
Run 121/200 ----------------------------------
Subset Accuracy: 0.8492
Training Accuracy: 0.9400
Run 122/200 ----------------------------------
Subset Accuracy: 0.1300
Training Accuracy: 0.1383
Run 123/200 ----------------------------------
Subset Accuracy: 0.8440
Training Accuracy: 0.9520
Run 124/200 ----------------------------------
Subset Accuracy: 0.6962
Training Accuracy: 0.8473
Run 125/200 ----------------------------------
Subset Accuracy: 0.7600
Training Accuracy: 0.9140
Run 126/200 ----------------------------------
Subset Accuracy: 0.8276
Training Accuracy: 0.9176
Run 127/200 ----------------------------------
Subset Accuracy: 0.8060
Training Accuracy: 0.8391
Run 128/200 ----------------------------------
Subset Accuracy: 0.2400
Training Accuracy: 0.2395
Run 129/200 ----------------------------------
Subset Accuracy: 0.8484
Training Accuracy: 0.9576
Run 130/200 ----------------------------------
Subset Accuracy: 0.7804
Training Accuracy: 0.9073
Run 131/200 ----------------------------------
Subset Accuracy: 0.2824
Training Accuracy: 0.2928
Run 132/200 ----------------------------------
Subset Accuracy: 0.8262
Training Accuracy: 0.9082
Run 133/200 ----------------------------------
Subset Accuracy: 0.7238
Training Accuracy: 0.8709
Run 134/200 ----------------------------------
Subset Accuracy: 0.8376
Training Accuracy: 0.9193
Run 135/200 ----------------------------------
Subset Accuracy: 0.6706
Training Accuracy: 0.6825
Run 136/200 ----------------------------------
Subset Accuracy: 0.7776
Training Accuracy: 0.8999
Run 137/200 ----------------------------------
Subset Accuracy: 0.7896
Training Accuracy: 0.8261
Run 138/200 ----------------------------------
Subset Accuracy: 0.5946
Training Accuracy: 0.5939
Run 139/200 ----------------------------------
Subset Accuracy: 0.0970
Training Accuracy: 0.1035
Run 140/200 ----------------------------------
Subset Accuracy: 0.8084
Training Accuracy: 0.8662
Run 141/200 ----------------------------------
Subset Accuracy: 0.7866
Training Accuracy: 0.8188
Run 142/200 ----------------------------------
Subset Accuracy: 0.8454
Training Accuracy: 0.9448
Run 143/200 ----------------------------------
Subset Accuracy: 0.5056
Training Accuracy: 0.5077
Run 144/200 ----------------------------------
Subset Accuracy: 0.8446
Training Accuracy: 0.9393
Run 145/200 ----------------------------------
Subset Accuracy: 0.1020
Training Accuracy: 0.0998
Run 146/200 ----------------------------------
Subset Accuracy: 0.8490
Training Accuracy: 0.9474
Run 147/200 ----------------------------------
Subset Accuracy: 0.6934
Training Accuracy: 0.7372
Run 148/200 ----------------------------------
Subset Accuracy: 0.8410
Training Accuracy: 0.9262
Run 149/200 ----------------------------------
Subset Accuracy: 0.8254
Training Accuracy: 0.9102
Run 150/200 ----------------------------------
Subset Accuracy: 0.2464
Training Accuracy: 0.2551
Run 151/200 ----------------------------------
Subset Accuracy: 0.8094
Training Accuracy: 0.9210
Run 152/200 ----------------------------------
Subset Accuracy: 0.8192
Training Accuracy: 0.8725
Run 153/200 ----------------------------------
Subset Accuracy: 0.8324
Training Accuracy: 0.9434
Run 154/200 ----------------------------------
Subset Accuracy: 0.7830
Training Accuracy: 0.8210
Run 155/200 ----------------------------------
Subset Accuracy: 0.6730
Training Accuracy: 0.6882
Run 156/200 ----------------------------------
Subset Accuracy: 0.8362
Training Accuracy: 0.9310
Run 157/200 ----------------------------------
Subset Accuracy: 0.8502
Training Accuracy: 0.9555
Run 158/200 ----------------------------------
Subset Accuracy: 0.8436
Training Accuracy: 0.9306
Run 159/200 ----------------------------------
Subset Accuracy: 0.8036
Training Accuracy: 0.8500
Run 160/200 ----------------------------------
Subset Accuracy: 0.6056
Training Accuracy: 0.6028
Run 161/200 ----------------------------------
Subset Accuracy: 0.8116
Training Accuracy: 0.8602
Run 162/200 ----------------------------------
Subset Accuracy: 0.6802
Training Accuracy: 0.6885
Run 163/200 ----------------------------------
Subset Accuracy: 0.7718
Training Accuracy: 0.8334
Run 164/200 ----------------------------------
Subset Accuracy: 0.3292
Training Accuracy: 0.3287
Run 165/200 ----------------------------------
Subset Accuracy: 0.6686
Training Accuracy: 0.7462
Run 166/200 ----------------------------------
Subset Accuracy: 0.1040
Training Accuracy: 0.0996
Run 167/200 ----------------------------------
Subset Accuracy: 0.4956
Training Accuracy: 0.4957
Run 168/200 ----------------------------------
Subset Accuracy: 0.6984
Training Accuracy: 0.7093
Run 169/200 ----------------------------------
Subset Accuracy: 0.4214
Training Accuracy: 0.4172
Run 170/200 ----------------------------------
Subset Accuracy: 0.8436
Training Accuracy: 0.9433
Run 171/200 ----------------------------------
Subset Accuracy: 0.7280
Training Accuracy: 0.7857
Run 172/200 ----------------------------------
